City,HP Postal Code,Prov.
Lacombe,T4L 1N1,AB
SUDBURY,P3G 1C6,ON
AMHERSTVIEW,K7N 2A3,ON
,,
Leslieville,T0M 1H0,AB
Lasalle,N9H 1Z7,ON
Vancouver,V2N 1L3,BC
,,
Chilliwack,V2R2B5,BC
Williamstown,K0C 2J0,ON
Penticton,V2A 3R3,BC
Maidstone,S0M 1M0,AB & SK
Weyburn,S4H 1S4,SK
Harrow,N0R 1G0,ON
North Vancouver,V7G 1S1,BC
Pemberton,V0N 2L1,BC
Cobble Hill,V8H 0A1,BC
Surrey,V3T 1Z2,BC
Sherwood Park,T8A 1X2,AB
Onoway,T0E 1V0,AB
Brockville,K6V 5T1,ON
Mississauga,L5N 6R5,ON
Fort Saskatchewan,T8L 0M9,AB
Hamilton,L8M 1H5,ON
,,
Vancouver,V6H 3P4,BC
Peace River,T8S 1B2,AB
Toronto,M3N 2Z1,ON
Calgary,T2Z 2N6,AB
Parry Sound,P2A 1V4,ON
SAULT STE. MARIE,P6B 2G6,ON
Goderich,N7A 1L3,ON
Calgary,T3M 1H9,AB
,,
Mississauga,L5A 1Y7,ON
AJAX,L1Z 1R4,ON
Stoney Creek,L8E 0E4,ON
Courtenay,V9N 5W8,BC
,,
Victoria,V9C 3E9 ,BC
Red Deer,T4P 0G2,AB
Toronto,M5N 2N2,ON
North Vancouver,V7H 2X5,BC
ALEXANDRIA,K0C 1A0,ON
Calgary,T3N 1K9,AB
Surrey,V3R 4J4,BC
Sudbury,P3C 3L3,ON
Havelock,K0L 1Z0,ON
Niagara Falls ( St. Davids),L2J 4J7,ON
Guelph,N1L 0H5,ON
London,N6G 2W4,ON
,,
North Battleford,S9A 2E9,SK
Coquitlam,V3B 2W7,BC
Brampton,L6R 1R9,ON
Cranbrook,V1C 7B2,BC
,,
,,
Nanaimo,V9R 6N3,BC
Chilliwack,V2R 0R1,BC
,,
Cochrane,T4C 1E3,AB
Crediton,N0M1M0,ON
Nanoose Bay,V9P 9B7,BC
,,
,,
,,
Langley,V2Y 4J1,BC
,,
St. Thomas,N5P 3T1,ON
,,
,,
Prince George,V2L 4Y4,BC
Lethbridge,T1H 6M8,AB
,,
Orleans,K4A 0M4,ON
,,
Calgary,T3G 4C6,AB
Kelowna,V1X 7H8,BC
North Pine,V0C 2A0,BC
Saskatoon,S7W 1A8,SK
Kamloops,V2H 1L1,BC
Abbotsford,V2T 1Z1,BC
Sooke,V9Z 0Y3,BC
Langford,V9B 6R6,BC
Milton,L9T 6Y4,ON
Oshawa,L1K 0E8,ON
Cambridge,N3H 2H9,ON
Petawawa,K8H 1Z1,ON
Nelson,V0G 2J0,BC
,,
,,
North York,M9L 2H8,ON
Dundas,L9H 5M3,ON
Barrie,L4M 3N4,ON
,,
,,
,,
Swift Current,S9H 4S2,SK
,,
,,
Regina,S4W 0B2,SK
Ottawa,K0A 2Z0,ON
,,
,,
SAULT STE. MARIE,P6C 5L8,ON
Val Caron,P3N 1A2,ON
Kitchener,N2A 4C3,ON
,,
,,
Sturgeon County,T8R 0G8 ,AB
,,
,,
,,
,,
Coquitlam,V3B 0E8,BC
Toronto,M9R 3G8,ON
Regina,S4S 6Y8,SK
Owen Sound,N4K 2B7,ON
,,
Mississauga,L5A3L8,ON
,,
Surrey,V3S 1Y6,BC
Prince Albert,S6V 5R2,SK
Regina,S4T0R2,SK
Calgary ,T2X 0M8,AB
Ottawa,K1K 1W5,ON
Surrey,V4N 5Z8,BC
,,
Mississauga,L5R 3H1,ON
Regina,S4N 4B5,SK
Vernon,V1T 9A1,BC
Brampton,L7A 4T5,ON
Kamloops,V2C 0H7 ,BC
,,
Sturgeon County,T8R 2B5,AB
,,
Edmonton,T6W 3C1,AB
Scarborough,M1L 0H3,ON
,,
,,
,,
Beaumont,T4X 0E4,AB
Phelpston,L0L 2K0,ON
Medicine Hat,T1C 0A6,AB
Edmonton,T6K 0H7,AB
Grande Prairie,T8V 1V2,aB
Surrey,V3S 8Y7,BC
,,
Toronto,M6P 3N4,ON
