id,name,address,city,province,postal,lat,lng
146,Georgia Patient Service Centre,#835-777 Hornby St,Vancouver,British Columbia,V6Z 1S4,49.283012,-123.121338
254,City Centre Patient Service Centre,#206-1160 Burrard Street,Vancouver,British Columbia,V6Z 2E8,49.2795,-123.1286
154,Burrard Patient Service Centre,#208-1200 Burrard St,Vancouver,British Columbia,V6Z 2C7,49.278896,-123.129227
228,Yaletown Patient Service Centre,136 Davie Street,Vancouver,British Columbia,V6Z 2V4,49.2736,-123.1209
128,Main & Keefer Patient Service Centre,#204-180 Keefer St,Vancouver,British Columbia,V6A 4E9,49.279503,-123.100319
133,Three Pillars Patient Service Centre,407 Gore Avenue,Vancouver,British Columbia,V6A 2Z3,49.281388,-123.09764
148,Laurel Patient Service Centre,#104-888 W. 8th Ave,Vancouver,British Columbia,V5Z 3Y1,49.264271,-123.123795
145,Fairmont Patient Service Centre (Located at 701-750 W. Broadway),#701-750 W. Broadway,Vancouver,British Columbia,V5Z 1H6,49.263165,-123.120735
149,Broadway Patient Service Centre,#220-943 W. Broadway,Vancouver,British Columbia,V5Z 4E1,49.26339,-123.125175
156,Cityview Patient Service Centre,#2-1530 W. 7th Ave,Vancouver,British Columbia,V6J 1S2,49.265408,-123.139153
166,Regent Patient Service Centre,#290-2184 W. Broadway,Vancouver,British Columbia,V6K 2E1,49.263748,-123.154816
226,East Hastings Patient Service Centre,1506 E. Hastings St,Vancouver,British Columbia,V5L 1S5,49.281,-123.0737
227,King Edward Patient Service Centre,972 West King Edward Avenue,Vancouver,British Columbia,V5Z 2E2,49.2491,-123.1273
183,Little Mountain Patient Service Centre,4527 Main St,Vancouver,British Columbia,V5V 3R4,49.24485,-123.101021
225,Commercial Drive Patient Service Centre,#306-1750 E. 10th Ave,Vancouver,British Columbia,V5N 5K4,49.261,-123.0696
204,Marine Drive Patient Service Centre,#102-845 Marine Dr,North Vancouver,British Columbia,V7P 0A8,49.321419,-123.095694
141,Woodridge Patient Service Centre,#215-650 W. 41st Ave,Vancouver,British Columbia,V5Z 2M9,49.233501,-123.117729
138,Hollyburn Patient Service Centre,#109-575 16th St,West Vancouver,British Columbia,V7V 4Y1,49.329395,-123.158943
163,Lonsdale Patient Service Centre,#215-1916 Lonsdale Ave,North Vancouver,British Columbia,V7M 2K2,49.326439,-123.072083
165,Kerrisdale Patient Service Centre,2061 W. 42nd Ave,Vancouver,British Columbia,V6M 2B4,49.233665,-123.15377
180,Discovery Patient Service Centre,4366 W. 10th Ave,Vancouver,British Columbia,V6R 2H7,49.263616,-123.205013
193,Southill Patient Service Centre,6540 Fraser St,Vancouver,British Columbia,V5X 3T5,49.225105,-123.090675
187,Victoria Drive Patient Service Centre,5786 Victoria Dr,Vancouver,British Columbia,V5P 3W7,49.231506,-123.065498
174,Dunbar Patient Service Centre,#112-3540 W. 41st Ave,Vancouver,British Columbia,V6N 3E6,49.234707,-123.183372
167,Dundarave Patient Service Centre,#115-2419 Bellevue Ave,West Vancouver,British Columbia,V7V 1E1,49.333378,-123.179634
251,Norburn Patient Service Centre,#103-4012 Hastings Street,Burnaby,British Columbia,V5C 2H9,49.2811,-123.0157
132,Hastings Patient Service Centre,324 Gilmore Ave,Burnaby,British Columbia,V5C 4R1,49.281859,-123.013848
416,Sunset Patient Service Centre,8207 Ontario Street,Vancouver,British Columbia,V5X 0A7,49.210762,-123.106655
155,Lynn Valley Patient Service Centre,#305-1200 Lynn Valley Rd,North Vancouver,British Columbia,V7J 2A2,49.335911,-123.040527
196,Marpole Patient Service Centre,8677 Granville St,Vancouver,British Columbia,V6P 5A3,49.207458,-123.140526
437,BRL Patient Service Room (FERTILITY ONLY),3680 Gilmore Way,Burnaby,British Columbia,V5G 4V8,49.249785,-123.007788
172,Champlain Square Patient Service Centre,#340-3150 E. 54th Ave,Vancouver,British Columbia,V5S 1Z1,49.220036,-123.040047
178,Central Park Patient Service Centre,#210-4250 Kingsway,Burnaby,British Columbia,V5H 4T7,49.231391,-123.009535
237,Capstan Way Patient Service Centre,#150-8155 Capstan Way,Richmond,British Columbia,V6X 0V3,49.184,-123.133
250,Kensington Patient Service Centre,#203-6542 Hastings St,Burnaby,British Columbia,V5B 1S2,49.2803,-122.9685
212,Metrotown Patient Service Centre,#201-4980 Kingsway,Burnaby,British Columbia,V5H 2E5,49.2255218,-122.9937704
175,Parkgate Patient Service Centre,#201-3650 Mt Seymour Parkway,North Vancouver,British Columbia,V7H2Y5,49.316051,-122.970406
188,No 3 Road Patient Service Centre,#200-5791 No. 3 Rd,Richmond,British Columbia,V6X 2C9,49.172619,-123.136818
190,Crestwood Patient Service Centre,#107-6051 Gilbert Rd,Richmond,British Columbia,V7C 3V3,49.169598,-123.147766
192,Buswell Patient Service Centre,#170-6451 Buswell St,Richmond,British Columbia,V6Y 2G4,49.166653,-123.133736
216,Burnaby Square Patient Service Centre,#104-7885 6th Street,Burnaby,British Columbia,V3N 3N4,49.2191,-122.9279
213,Royal City Patient Service Centre,#440-555 6th Street,New Westminster,British Columbia,V3M 1X4,49.2126488,-122.9217563
191,Ironwood Patient Service Centre,#120-10880 No 5 Rd,Richmond,British Columbia,V6W 0B3,49.133888,-123.091223
253,Lougheed Patient Service Centre (Located above the CIBC),#20-3778 Grande Promenade,Burnaby,British Columbia,V3J 0C6,49.2499689,-122.8949483
221,North Road Patient Service Centre,Suite R - 435 North Rd,Coquitlam,British Columbia,V3K 3V9,49.2475,-122.8927
217,Sapperton Patient Service Centre,227 Nelson's Crescent,New Westminster,British Columbia,V3L 0E3,49.2237,-122.8922
177,Steveston Patient Service Centre,#104-3811 Chatham St,Richmond,British Columbia,V7E 2Z4,49.126419,-123.182816
