Section,Name,Address,City,Province,Postal Code,Latitude,Longitude,Type,Google Maps Link
LIFELABS (BC),,,,,,,,,
LifeLabs (BC),Abbotsford PSC,33498 BEVAN AVE,ABBOTSFORD,BC,,49.044641,-122.29587,clinic,"https://maps.google.com/?q=49.044641,-122.29587"
LifeLabs (BC),Agassiz PSC,7069 CHEAM AVE,AGASSIZ,BC,,49.238452,-121.765623,clinic,"https://maps.google.com/?q=49.238452,-121.765623"
LifeLabs (BC),Aldergrove PSC,26310 FRASER HWY,ALDERGROVE,BC,,49.058239,-122.494853,clinic,"https://maps.google.com/?q=49.058239,-122.494853"
LifeLabs (BC),Beverly PSC,2763 BEVERLY ST,DUNCAN,BC,,48.786081,-123.708428,clinic,"https://maps.google.com/?q=48.786081,-123.708428"
LifeLabs (BC),Brickyard PSC,6010 BRICKYARD RD,NANAIMO,BC,,49.234479,-124.025849,clinic,"https://maps.google.com/?q=49.234479,-124.025849"
LifeLabs (BC),Broadway PSC,943 WEST BROADWAY,VANCOUVER,BC,,49.263651,-123.125072,clinic,"https://maps.google.com/?q=49.263651,-123.125072"
LifeLabs (BC),Brookswood PSC,20103 40TH AVE,LANGLEY,BC,,49.103929,-122.657047,clinic,"https://maps.google.com/?q=49.103929,-122.657047"
LifeLabs (BC),Burnaby Square PSC,7885 6TH ST,BURNABY,BC,,49.219023,-122.928017,clinic,"https://maps.google.com/?q=49.219023,-122.928017"
LifeLabs (BC),Burnside PSC,101 BURNSIDE RD W,VICTORIA,BC,,48.428318,-123.364953,clinic,"https://maps.google.com/?q=48.428318,-123.364953"
LifeLabs (BC),Burrard PSC,1200 BURRARD ST,VANCOUVER,BC,,49.278655,-123.129166,clinic,"https://maps.google.com/?q=49.278655,-123.129166"
LifeLabs (BC),Buswell PSC,6451 BUSWELL ST,RICHMOND,BC,,49.166878,-123.133888,clinic,"https://maps.google.com/?q=49.166878,-123.133888"
LifeLabs (BC),Campbell River PSC,465 MERECROFT RD,CAMPBELL RIVER,BC,,49.999299,-125.246562,clinic,"https://maps.google.com/?q=49.999299,-125.246562"
LifeLabs (BC),Capstan Way PSC,8155 CAPSTAN WAY,RICHMOND,BC,,49.189207,-123.133402,clinic,"https://maps.google.com/?q=49.189207,-123.133402"
LifeLabs (BC),Cedar Hill PSC,1590 CEDAR HILL CROSS RD,VICTORIA,BC,,48.46149,-123.33261,clinic,"https://maps.google.com/?q=48.46149,-123.33261"
LifeLabs (BC),Central Park PSC,4250 KINGSWAY,BURNABY,BC,,49.231418,-123.009174,clinic,"https://maps.google.com/?q=49.231418,-123.009174"
LifeLabs (BC),Champlain Square PSC,3150 EAST 54TH AVE,VANCOUVER,BC,,49.219088,-123.040183,clinic,"https://maps.google.com/?q=49.219088,-123.040183"
LifeLabs (BC),Chilliwack PSC,8236 EAGLE LANDING PKY,CHILLIWACK,BC,,49.157234,-121.975414,clinic,"https://maps.google.com/?q=49.157234,-121.975414"
LifeLabs (BC),City Centre PSC,1160 BURRARD ST,VANCOUVER,BC,,49.279234,-123.128154,clinic,"https://maps.google.com/?q=49.279234,-123.128154"
LifeLabs (BC),Cityview PSC,1530 WEST 7TH AVE,VANCOUVER,BC,,49.265239,-123.139671,clinic,"https://maps.google.com/?q=49.265239,-123.139671"
