NIA POSTAL CODE LIST — FOR MAP INPUT
======================================
Generated: April 16, 2026


========================================
LIFELABS — BRITISH COLUMBIA (86 clinics)
========================================

V6Z 1S4  — Vancouver, Georgia PSC
V6Z 2E8  — Vancouver, City Centre PSC
V6Z 2C7  — Vancouver, Burrard PSC
V6Z 2V4  — Vancouver, Yaletown PSC
V6A 4E9  — Vancouver, Main & Keefer PSC
V6A 2Z3  — Vancouver, Three Pillars PSC
V5Z 3Y1  — Vancouver, Laurel PSC
V5Z 1H6  — Vancouver, Fairmont PSC
V5Z 4E1  — Vancouver, Broadway PSC
V6J 1S2  — Vancouver, Cityview PSC
V6K 2E1  — Vancouver, Regent PSC
V5L 1S5  — Vancouver, East Hastings PSC
V5Z 2E2  — Vancouver, King Edward PSC
V5V 3R4  — Vancouver, Little Mountain PSC
V5N 5K4  — Vancouver, Commercial Drive PSC
V7P 0A8  — North Vancouver, Marine Drive PSC
V5Z 2M9  — Vancouver, Woodridge PSC
V7V 4Y1  — West Vancouver, Hollyburn PSC
V7M 2K2  — North Vancouver, Lonsdale PSC
V6M 2B4  — Vancouver, Kerrisdale PSC
V6R 2H7  — Vancouver, Discovery PSC
V5X 3T5  — Vancouver, Southill PSC
V5P 3W7  — Vancouver, Victoria Drive PSC
V6N 3E6  — Vancouver, Dunbar PSC
V7V 1E1  — West Vancouver, Dundarave PSC
V5C 2H9  — Burnaby, Norburn PSC
V5C 4R1  — Burnaby, Hastings PSC
V5X 0A7  — Vancouver, Sunset PSC
V7J 2A2  — North Vancouver, Lynn Valley PSC
V6P 5A3  — Vancouver, Marpole PSC
V5G 4V8  — Burnaby, BRL PSC (Fertility Only)
V5S 1Z1  — Vancouver, Champlain Square PSC
V5H 4T7  — Burnaby, Central Park PSC
V6X 0V3  — Richmond, Capstan Way PSC
V5B 1S2  — Burnaby, Kensington PSC
V5H 2E5  — Burnaby, Metrotown PSC
V7H 2Y5  — North Vancouver, Parkgate PSC
V6X 2C9  — Richmond, No 3 Road PSC
V7C 3V3  — Richmond, Crestwood PSC
V6Y 2G4  — Richmond, Buswell PSC
V3N 3N4  — Burnaby, Burnaby Square PSC
V3M 1X4  — New Westminster, Royal City PSC
V6W 0B3  — Richmond, Ironwood PSC
V3J 0C6  — Burnaby, Lougheed PSC
V3K 3V9  — Coquitlam, North Road PSC
V3L 0E3  — New Westminster, Sapperton PSC
V7E 2Z4  — Richmond, Steveston PSC
V0N 1G1  — Bowen Island PSC
V3H 2B6  — Port Moody PSC
V3W 1P6  — Surrey, Scott Road PSC
V4C 6R2  — Delta PSC
V4K 4L1  — Delta, Ladner PSC
V3E 1J7  — Coquitlam, Eagleridge PSC
V3T 2W4  — Surrey, Surrey Central PSC
V3T 0M1  — Surrey, Surrey City Centre (CC2)
V3W 3M8  — Surrey, Satnam Place PSC
V3C 2K7  — Coquitlam, Gordon PSC
V4E 2A6  — Delta, Sunwood PSC
V3C 6C1  — Port Coquitlam, Wilson PSC
V8W 1G2  — Victoria, Yarrow PSC
V8V 3M9  — Victoria, Yates PSC
V9A 7N6  — Victoria, Westside PSC
V8V 1S5  — Victoria, James Bay PSC
V8R 1B1  — Victoria, Fort PSC
V9A 5S2  — Victoria, Esquimalt PSC
V8T 5G1  — Victoria, Hillside PSC
V9A 1B7  — Victoria, Burnside PSC
V8P 2P5  — Victoria, Cedar Hill PSC
V8Z 3E9  — Victoria, Royal Oak PSC
